"citric acid","chlorides","pH","alcohol","quality"
0.06,0.078,3.37,9.9,6
0.2,0.09,3.34,9.6,6
0.09,0.065,3.32,9,6
0,0.097,3.37,9,6
0,0.097,3.37,9,6
0,0.097,3.37,9.2,6
0,0.097,3.37,9,6
0.09,0.065,3.32,9,6
0.56,0.093,3.14,10.9,6
0.1,0.102,3.08,9.8,6
0.44,0.075,3.07,9.2,7
0.44,0.075,3.07,9.2,7
0,0.084,3.61,9.9,6
0.06,0.074,3.35,9.8,6
0,0.084,3.61,9.9,6
0.44,0.063,3.22,10,6
0,0.074,3.47,9.9,6
0,0.074,3.47,9.9,6
0.47,0.085,3.36,10.5,7
0.52,0.071,3.2,10.2,7
0.46,0.078,3.35,12.8,8
0.04,0.077,3.69,9.4,6
0.51,0.104,3.28,10.1,6
0.06,0.087,3.36,10.7,6
0.51,0.104,3.28,10.1,6
0.06,0.087,3.36,10.7,6
0.04,0.077,3.69,9.4,6
0.51,0.104,3.28,10.1,6
0.45,0.073,3.23,12.6,8
0.32,0.087,3.38,10.5,7
0.44,0.071,3.12,9.3,6
0.68,0.358,3.25,9.9,7
0.32,0.087,3.38,10.5,7
0.55,0.073,3.1,10.3,6
0.12,0.092,3.37,10.3,6
0.09,0.091,3.34,10.6,7
0.09,0.091,3.34,10.6,7
0.23,0.091,3.22,10.3,6
0.25,0.098,3.41,10.1,6
0.52,0.094,3.05,9.5,6
0.06,0.086,3.38,10.7,6
0.48,0.068,3.22,10.1,6
0.48,0.063,3.12,9.3,6
0.42,0.213,3.19,9.5,6
0.44,0.214,3.19,9.5,6
0.38,0.062,3.41,9.5,6
0.48,0.063,3.12,9.3,6
0.24,0.072,3.27,9.4,6
0.31,0.093,3.32,9.5,6
0.29,0.096,3.42,11,6
0.12,0.082,3.3,10.4,6
0.39,0.083,3.37,11.5,7
0.12,0.082,3.3,10.4,6
0.39,0.083,3.37,11.5,7
0.42,0.09,3.28,9.5,6
0.2,0.071,3.16,9.2,6
0.2,0.071,3.16,9.2,6
0.66,0.121,3.05,11.5,7
0.62,0.082,3.16,9.7,6
0.64,0.122,3.23,12.5,6
0.64,0.122,3.23,12.5,6
0.28,0.066,3.22,9.4,6
0.01,0.078,3.34,11.7,7
0.53,0.128,3.17,12.2,7
0.45,0.052,3.35,12.5,6
0.58,0.103,3.16,11.5,6
0.54,0.082,3.11,9.8,7
0.5,0.066,3.12,9.2,6
0.48,0.065,3.21,11.3,6
0.47,0.118,3.3,9.8,6
0.47,0.118,3.3,9.8,6
0.5,0.082,3.12,10.7,6
0.02,0.072,3.58,12.3,7
0.67,0.093,3.02,12,6
0.31,0.089,3.11,10,6
0,0.093,3.36,9.4,6
0.22,0.107,3.28,9.9,6
0,0.096,3.35,9.4,6
0.4,0.066,3.25,11.9,6
0.01,0.078,3.55,12.8,6
0.66,0.116,3.24,11.7,7
0.66,0.109,3.15,10.4,7
0.66,0.088,3.17,9.8,6
0.31,0.086,3.37,9.9,6
0.66,0.083,3.07,10,7
0.5,0.107,3.26,11.8,6
0.66,0.083,3.07,10,7
0.53,0.074,3.2,12,7
0.4,0.056,3.32,8.7,6
0.48,0.067,3.32,10.6,6
0.63,0.089,3.01,10.8,6
0.71,0.124,3.01,11.8,7
0.5,0.078,3.26,11,6
0.53,0.074,3.2,12,7
0.66,0.088,3.11,13.3,6
0.38,0.094,3.31,10.8,6
0.42,0.08,3.21,9.4,6
0.68,0.085,3.06,10,6
0.42,0.08,3.21,9.4,6
0.42,0.08,3.21,9.4,6
0.07,0.09,3.43,9.7,6
0.26,0.088,3.41,9.2,6
0.15,0.079,3.31,9.6,6
0.26,0.088,3.43,9.2,6
0.31,0.096,3.19,10,7
0.05,0.045,3.56,12.9,8
0.68,0.085,3.06,10,6
0.76,0.066,3.22,13,7
0.59,0.087,3.18,11,6
0.59,0.087,3.18,11,6
0.3,0.059,3.29,10.8,6
0.54,0.085,3.1,10.5,6
0.49,0.085,3.15,10.5,6
0.46,0.059,3.36,10.1,6
0.47,0.063,3.24,10.8,6
0.66,0.093,3.18,10.8,7
0.58,0.174,3.19,11.3,6
0.34,0.08,3.38,9.5,6
0.53,0.097,3.27,11.7,7
0.64,0.111,3.26,11.7,6
0.51,0.121,3.24,10.4,6
0.33,0.089,3.28,11.8,7
0.03,0.059,3.52,12.3,7
0.47,0.066,3.15,11,7
0.03,0.059,3.52,12.3,7
0.08,0.045,3.49,11.4,6
0.22,0.077,3.26,10.6,6
0.63,0.088,3.1,10.4,6
0.47,0.066,3.15,11,7
0.69,0.078,3,12.8,6
0.55,0.076,3.15,9.9,6
0.3,0.06,3.26,10.2,6
0.73,0.066,3.17,11.2,6
0.55,0.076,3.15,9.9,6
0.72,0.072,2.88,9.8,8
0.65,0.068,3.06,11.3,6
0.76,0.1,2.95,11.2,7
0.49,0.077,3.23,11.6,7
0.01,0.054,3.57,12.5,7
0.1,0.079,3.23,10.1,6
0.22,0.1,3.2,10.2,6
0.69,0.095,3.1,10.8,6
0.69,0.095,3.1,10.8,6
0.53,0.413,3.06,9.1,6
0.03,0.084,3.44,10,6
0.63,0.084,3.26,11.2,7
0.67,0.086,3.22,13.4,8
0.63,0.084,3.26,11.2,7
0.52,0.083,3.35,11.3,6
0.54,0.084,2.98,9.2,6
0.42,0.069,3.16,11.5,6
0.45,0.065,3.32,14,6
0.69,0.09,3.17,9.2,6
0.42,0.081,3.2,11.4,6
0.55,0.083,3.15,10.4,6
0.51,0.08,3.2,9.4,6
0.49,0.075,3.18,11,6
0.11,0.077,3.19,10.1,6
0.56,0.08,3.15,11.7,8
0.68,0.114,3.06,13.4,6
0.36,0.053,3.17,10,6
0.55,0.081,3.32,10.8,7
0.4,0.073,3.34,10.2,6
0.27,0.078,3.31,10.6,6
0.5,0.055,3.34,13.3,7
0.51,0.052,3.32,13.4,7
0.31,0.086,3.48,11.6,6
0.23,0.051,3.44,12.1,6
0.53,0.07,3.15,11,8
0.25,0.081,3.43,9,6
0.53,0.07,3.15,11,8
0.31,0.086,3.48,11.6,6
0.25,0.081,3.43,9,6
0.73,0.074,3.17,12,7
0.73,0.074,3.17,12,7
0.47,0.078,3.18,10.9,7
0.42,0.077,3.21,10.8,7
0.63,0.072,3.16,12.5,7
0.46,0.075,3.25,10.8,7
0.55,0.084,3.17,9.5,6
0.31,0.09,3.18,10.2,6
0.75,0.084,3.04,11.4,7
0.31,0.09,3.18,10.2,6
0.48,0.125,3.03,9.7,6
0.64,0.107,3.09,11.8,7
0.64,0.107,3.09,11.8,7
0.49,0.1,3.25,11.9,6
0.49,0.088,3.22,11.7,6
0.49,0.088,3.42,10,6
0.49,0.097,3.39,11.4,6
0.49,0.084,3.34,8.7,6
0.24,0.078,3.41,10.3,6
0.24,0.072,3.22,12.8,6
0.24,0.102,3.28,10,6
0.24,0.078,3.41,10.3,6
0.24,0.084,3.37,10.7,6
0.49,0.066,3.2,12,7
0.49,0.064,3.21,11,6
0.24,0.085,3.06,11,6
0.74,0.075,2.86,8.4,6
0.24,0.078,3.45,9.5,6
0.49,0.067,3.26,10.7,6
0.49,0.079,3.12,10.4,6
0.49,0.171,3.27,9.4,6
0.01,0.074,3.33,9.5,6
0.24,0.092,3.19,10,6
0.24,0.092,3.12,10,6
0.49,0.118,3.07,11.7,6
0.49,0.118,3.07,11.7,6
0.49,0.085,3.3,12.7,6
0.49,0.092,3.31,10.1,6
0.49,0.085,3.3,12.7,6
0.24,0.226,3.32,9,6
0.24,0.226,3.32,9,6
0.49,0.25,3.31,10.7,6
0.24,0.095,3.57,11.7,6
0.49,0.07,3.32,11,6
0.24,0.095,3.57,11.7,6
0.49,0.078,3.19,10,6
0.49,0.079,3.2,10.2,6
0.49,0.063,3.14,9.8,6
0.49,0.074,2.98,9.9,7
0.49,0.093,3.3,10.7,7
0.24,0.091,3.47,9.6,6
0.49,0.094,3.12,10.6,7
0.24,0.06,3.72,14,8
0.49,0.059,3.05,10.5,7
0.49,0.07,3.12,11.5,6
0.51,0.059,3.04,9.3,6
0.58,0.071,3.09,10,6
0.18,0.078,3.2,9.8,6
0.45,0.082,3,9.3,6
0.52,0.071,3.1,9,6
0.52,0.071,3.1,9,6
0.13,0.096,3.17,9.1,6
0.13,0.085,3.31,9.2,6
0.48,0.072,3.34,12.2,7
0.41,0.092,3.31,10.5,6
0.37,0.11,3.32,10.4,6
0.19,0.075,3.56,12.7,6
0,0.077,3.32,10,6
0.18,0.148,2.87,10.2,6
0.51,0.079,3.03,9.8,6
0.25,0.077,3.49,12.1,6
0.26,0.097,3.27,9.3,6
0.26,0.097,3.27,9.3,6
0.14,0.087,3.32,10.5,6
0.12,0.143,3.35,10.2,7
0.35,0.067,3.18,10.3,6
0.1,0.115,3.37,10.1,7
0.3,0.066,3.33,11.2,7
0.27,0.068,3.16,11.3,6
0.59,0.079,3.12,12,6
0.59,0.073,2.92,10.5,7
0.07,0.074,3.32,9.6,6
0.07,0.074,3.32,9.6,6
0.06,0.076,3.36,9.6,6
0.46,0.05,3.04,10.2,6
0.36,0.222,3.18,9.5,6
0.45,0.082,2.94,9.2,6
0.45,0.082,2.94,9.2,6
0.41,0.084,3.08,9.3,6
0.41,0.084,3.08,9.3,6
0.23,0.094,3.21,10.2,6
0.02,0.034,3.9,12.8,6
0.02,0.066,3.47,9.5,6
0.02,0.066,3.47,9.5,6
0.55,0.071,3.11,10.8,6
0.43,0.076,3.08,10.1,6
0.02,0.066,3.47,9.5,6
0.02,0.067,3.47,9.4,6
0.12,0.068,3.34,11.6,6
0.47,0.062,3.27,10,6
0.18,0.069,3.29,9.2,6
0.09,0.084,3.43,11.1,6
0.03,0.071,3.61,12.7,6
0,0.093,3.5,9.3,6
0.29,0.075,3.45,11.5,6
0.18,0.07,3.52,9.5,6
0.38,0.08,3.3,9,6
0.18,0.071,3.52,9.6,6
0.18,0.07,3.52,9.5,6
0.68,0.415,3.09,9.1,6
0.07,0.058,3.51,10.7,6
0.01,0.057,3.6,11.2,6
0,0.069,3.31,10,6
0.11,0.093,3.31,9.5,6
0.1,0.091,3.31,9.5,6
0.02,0.082,3.55,9.7,6
0.02,0.082,3.55,9.7,6
0.29,0.157,3.3,9.5,6
0.3,0.157,3.31,9.5,6
0.18,0.243,3.4,10.3,6
0.17,0.241,3.4,10.3,6
0,0.19,3.31,9.4,6
0.24,0.079,3.18,10.1,6
0.24,0.079,3.18,10.1,6
0.43,0.082,3.33,9.7,6
0.02,0.081,3.48,9.7,6
0.54,0.065,3.17,12.5,6
0.44,0.038,3.24,10.8,7
0.34,0.082,3.29,10.7,6
0.34,0.082,3.29,10.7,6
0,0.044,3.56,12.9,7
0.08,0.114,3.24,9.6,6
0.22,0.084,3.26,9.9,6
0.4,0.052,3.33,12.8,7
0.39,0.041,3.27,12.5,7
0.4,0.052,3.33,12.8,7
0.31,0.07,3.22,10.3,6
0.55,0.072,3.09,10.9,6
0.54,0.103,3.21,11.3,6
0.19,0.081,3.23,10.5,6
0.42,0.084,3.28,11.9,6
0,0.048,3.71,14,7
0.34,0.05,3.4,11,7
0.09,0.065,3.46,12.7,8
0.08,0.071,3.56,11.1,6
0.08,0.071,3.56,11.1,6
0.28,0.012,3.26,11.7,7
0.28,0.012,3.26,11.7,7
0.35,0.075,3.24,11.2,7
0.47,0.085,3.24,12.1,7
0.45,0.119,3.23,10.9,6
0.46,0.062,3.18,10.6,6
0.16,0.078,3.5,9.9,6
0.39,0.08,3.47,10.9,6
0.39,0.08,3.47,10.9,6
0.02,0.071,3.51,11.7,7
0.39,0.08,3.47,10.9,6
0.34,0.073,3.4,11.3,7
0.47,0.054,3.15,10.6,7
0.22,0.074,3.4,11.2,6
0.66,0.039,3.66,11.5,6
0.22,0.071,3.41,11.3,6
0.23,0.072,3.4,11.2,6
0.22,0.074,3.4,11.2,6
0.03,0.08,3.44,10.9,6
0.01,0.064,3.41,11.8,6
0.37,0.067,3.23,11.1,7
0.46,0.104,3.12,11.8,7
0.4,0.109,3.31,11.8,7
0.01,0.064,3.41,11.8,6
0.19,0.094,3.22,10,6
0,0.068,3.48,11.4,6
0.29,0.194,3.22,12,6
0.19,0.094,3.22,10,6
0.12,0.083,3.33,10.4,6
0.38,0.066,3.15,12.1,7
0,0.072,3.43,11.2,6
0.23,0.082,3.22,9.3,6
0.03,0.08,3.53,9.8,6
0.01,0.08,3.42,10.7,6
0.39,0.078,3.31,12.5,7
0.01,0.08,3.42,10.7,6
0.39,0.078,3.31,12.5,7
0.1,0.08,3.58,10.8,7
0.1,0.08,3.58,10.8,7
0.06,0.06,3.41,10.8,7
0.06,0.06,3.41,10.8,7
0,0.079,3.59,11.5,6
0.13,0.078,3.43,10.8,6
0.39,0.059,3.29,11.5,6
0.48,0.132,3.23,13.2,6
0.46,0.114,3.18,10.9,6
0.44,0.065,3.33,12.2,6
0.46,0.094,3.27,12.2,7
0.39,0.059,3.29,11.5,6
0.4,0.079,3.27,11.9,6
0.31,0.084,3.38,10.1,6
0.32,0.081,3.3,11,6
0.12,0.072,3.38,11.8,6
0.32,0.081,3.3,11,6
0.12,0.072,3.38,11.8,6
0.31,0.084,3.38,10.1,6
0.36,0.064,3.47,11,7
0.33,0.061,3.47,10.2,6
0.38,0.063,3.3,12,7
0.29,0.078,3.45,9.5,6
0.38,0.06,3.39,11.8,6
0.38,0.06,3.39,11.8,6
0.38,0.068,3.34,12.9,7
0.52,0.074,3.36,12.4,7
0.49,0.082,3.19,12.5,7
0.4,0.092,3.22,10,7
0.34,0.094,3.24,9.7,7
0.49,0.09,3.27,12.1,7
0.42,0.071,3.14,11.1,7
0.58,0.092,3.29,12,7
0.48,0.093,3.26,12.4,7
0.45,0.075,3.41,11.9,7
0.45,0.075,3.41,11.9,7
0.45,0.075,3.41,11.9,7
0.48,0.093,3.26,12.4,7
0.4,0.058,3.31,11.2,7
0.48,0.052,3.2,12.1,7
0.4,0.082,3.44,12.2,6
0.52,0.111,3.31,11.3,6
0.52,0.088,3.29,11.1,6
0.12,0.12,3.47,11.3,7
0.27,0.058,3.16,11.1,6
0.39,0.1,3.15,11.2,6
0.27,0.058,3.16,11.1,6
0.4,0.065,3.34,11,6
0.41,0.103,3.13,11.9,7
0.43,0.068,3.2,12.2,6
0.48,0.066,3.33,10.9,6
0.48,0.066,3.33,10.9,6
0.5,0.104,3.22,11.6,7
0.41,0.073,3.3,12.1,7
0.32,0.061,3.28,11.3,7
0.3,0.065,3.32,10.5,6
0.32,0.07,3.34,12.9,6
0.3,0.065,3.32,10.5,6
0,0.064,3.45,11.3,6
0.39,0.066,3.19,11.4,7
0.4,0.073,3.14,10.9,6
0.1,0.076,3.36,9.4,6
0.06,0.079,3.39,10.1,6
0,0.087,3.71,12.8,7
0,0.087,3.71,12.8,7
0.34,0.05,3.12,9.1,6
0,0.055,3.47,12.9,6
0.3,0.062,3.44,11.5,7
0.38,0.058,3.26,10.6,7
0.33,0.063,3.26,11.7,7
0.32,0.067,3.36,12.8,7
0.32,0.067,3.36,12.8,7
0.33,0.063,3.26,11.7,7
0.34,0.064,3.26,11.7,7
0.4,0.11,3.23,12,7
0.45,0.067,3.25,12.3,7
0.31,0.088,3.17,10.4,6
0,0.092,3.38,10,6
0.16,0.12,3.22,11.2,6
0.46,0.075,3.06,11.4,6
0.4,0.068,3.27,12.6,7
0.37,0.049,2.89,12.7,6
0.37,0.049,2.89,12.7,6
0.66,0.123,3.2,11.9,6
0.66,0.123,3.2,11.9,6
0.42,0.098,3.27,12.3,6
0.01,0.088,3.32,10.5,7
0,0.095,3.33,10.4,6
0.32,0.066,3.41,12.6,6
0.21,0.075,3.37,10.1,6
0.01,0.088,3.32,10.5,7
0,0.091,3.42,11.5,7
0.01,0.093,3.35,11,7
0.08,0.089,3.3,10.4,6
0.18,0.077,3.2,9.7,6
0.34,0.085,3.17,10.6,7
0.34,0.082,3.22,12.5,7
0.41,0.078,3.24,12.6,7
0.21,0.088,3.33,11.1,6
0.19,0.079,3.38,9.8,6
0.21,0.088,3.33,11.1,6
0.41,0.069,3.29,10.9,7
0.33,0.046,3.36,12.2,6
0,0.07,3.32,11.4,6
0,0.076,3.31,10.7,6
0.36,0.081,3.27,10.9,6
0.36,0.084,3.27,10.8,6
0.42,0.07,3.38,12.7,7
0.27,0.095,3.13,9.1,6
0.27,0.095,3.13,9.1,6
0.53,0.101,3.21,12.1,7
0.57,0.093,3.19,11.6,7
0.53,0.101,3.21,12.1,7
0.57,0.074,3.14,9.9,6
0.5,0.071,3.21,12.5,8
0.44,0.098,3.3,11.4,6
0.65,0.075,3.22,11.8,6
0.09,0.067,3.28,11.8,6
0.18,0.083,3.29,10.2,6
0.08,0.07,3.4,12.5,7
0.53,0.06,3.02,10.9,7
0.53,0.06,3.02,10.9,7
0.45,0.057,3.18,11.1,7
0.26,0.083,3.4,9.5,6
0.33,0.088,3.31,10.7,6
0.34,0.071,3.44,10.2,7
0.56,0.073,3.15,11.4,6
0.68,0.05,3.01,12.3,7
0.56,0.047,3.16,11.8,6
0.68,0.05,3.01,12.3,7
0.3,0.073,3.42,9.5,6
0.45,0.072,3.33,12,6
0.3,0.073,3.42,9.5,6
0.4,0.055,3.38,11.6,7
0.42,0.057,3.29,11.2,6
0.54,0.095,3.02,9.9,7
0.54,0.095,3.02,9.9,7
0.54,0.083,2.98,11.8,8
0.42,0.086,3.35,11.4,6
0.09,0.081,3.43,11.5,6
0.36,0.079,3.33,12,7
0.09,0.117,3.35,10.8,6
0.09,0.117,3.35,10.8,6
0.45,0.216,3.15,12.5,7
0.42,0.072,3.11,12.4,6
0.27,0.071,3.35,12,6
0.09,0.078,3.45,11.2,6
0.27,0.071,3.35,12,6
0.34,0.073,3.28,12.4,6
0.42,0.069,3.21,12.3,6
0.41,0.068,3.27,11.7,7
0.43,0.171,3.17,10.8,6
0,0.07,3.25,10,6
0.27,0.092,3.78,12.3,7
0.41,0.056,3.29,11,6
0.39,0.074,3.12,9.5,6
0.5,0.046,3.49,13.6,6
0.07,0.091,3.38,11.3,6
0.07,0.091,3.38,11.3,6
0.07,0.091,3.38,11.3,6
0.12,0.065,3.3,13.3,6
0.34,0.076,3.2,13.1,8
0,0.062,3.44,12.3,6
0,0.055,3.45,12.3,6
0.37,0.081,3.12,11.2,6
0.35,0.055,3.14,11.3,7
0.26,0.063,3.39,13.5,6
0,0.072,3.51,11.5,6
0.35,0.092,3.21,10.5,6
0,0.058,3.18,10.4,6
0.34,0.075,3.38,13.6,7
0.07,0.089,3.37,11.2,7
0.35,0.061,3.3,11.8,7
0.43,0.067,3.38,11.9,6
0.45,0.08,3.22,11.4,6
0.45,0.08,3.22,11.4,6
0.24,0.079,3.34,9.5,6
0.3,0.08,3.41,9.5,6
0.32,0.08,3.27,11,6
0.11,0.043,3.3,11.4,6
0.3,0.065,3.61,10,6
0.43,0.076,3.53,10.4,6
0.12,0.178,3.28,9.8,6
0.45,0.071,3.21,11.8,7
0.42,0.086,3.39,11.6,6
0.47,0.061,3.23,12,6
0.32,0.067,3.3,12.8,7
0.23,0.044,3.46,12.5,6
0.35,0.083,3.23,11.1,6
0,0.1,3.59,11.4,6
0.51,0.071,3.33,11.8,7
0.18,0.042,3.46,12.9,7
0.43,0.076,3.42,10.6,6
0.57,0.087,3.14,11.1,7
0.43,0.076,3.21,10.2,6
0.42,0.075,3.14,11.8,7
0.39,0.074,3.32,12.4,7
0.27,0.067,3.21,12,6
0.29,0.086,3.32,11.5,6
0.34,0.062,3.2,10.5,6
0,0.078,3.42,10.8,6
0.46,0.074,3.27,12.3,6
0.31,0.079,3.46,9.5,6
0.31,0.079,3.46,9.5,6
0,0.095,3.61,11.5,6
0,0.052,3.35,12.7,7
0.33,0.076,3.27,11,6
0.33,0.076,3.27,11,6
0.4,0.068,3.38,10.5,6
0.3,0.085,3.33,11.9,6
0.3,0.085,3.33,11.9,6
0.57,0.08,3.28,12.5,6
0.37,0.063,3.52,12.4,7
0.12,0.114,3.22,9.5,6
0.22,0.078,3.52,9.5,6
0.23,0.076,3.21,9.5,6
0.21,0.069,3.16,9.8,6
0.26,0.052,3.15,10.9,6
0.23,0.076,3.21,9.5,6
0.21,0.069,3.16,9.8,6
0.36,0.065,3.27,11.2,7
0.39,0.068,3.35,11.7,8
0.46,0.074,3.4,11,7
0.46,0.074,3.4,11,7
0.46,0.074,3.4,11,7
0.46,0.074,3.4,11,7
0.43,0.071,3.45,11.2,7
0.02,0.078,3.35,10.4,6
0.02,0.078,3.35,10.4,6
0.42,0.071,3.15,10.5,6
0.46,0.081,3.1,10.4,6
0.46,0.095,3.26,11.3,6
0.31,0.079,3.29,9.5,6
0.37,0.057,3.23,12,6
0.31,0.082,3.24,10.6,6
0.4,0.044,3.2,10.9,6
0.52,0.132,3.28,11.5,6
0.52,0.132,3.28,11.5,6
0.22,0.078,3.26,9.6,6
0.47,0.074,3.23,12,6
0.49,0.08,3.07,10.3,6
0,0.044,3.68,13.6,7
0.34,0.066,3.37,11.8,6
0.01,0.059,3.39,12.8,6
0,0.07,3.26,9.4,6
0.01,0.059,3.39,12.8,6
0.41,0.058,3.22,12.2,6
0.25,0.067,3.33,10.3,6
0.33,0.081,3.41,11.1,6
0.01,0.079,3.4,10.9,6
0.01,0.079,3.4,10.9,6
0.28,0.085,3.32,11,6
0,0.123,3.44,11.3,6
0,0.123,3.44,11.3,6
0.32,0.066,3.38,11.8,6
0.05,0.081,3.38,10.3,6
0.05,0.081,3.38,10.3,6
0.5,0.068,3.1,11.4,6
0.31,0.079,3.47,9.5,6
0.03,0.044,3.5,14,8
0.01,0.048,3.7,14,6
0.2,0.049,3.38,11.7,6
0.13,0.102,3.24,11.2,6
0.22,0.075,3.24,9.5,6
0,0.114,3.35,9.7,6
0.22,0.075,3.24,9.5,6
0.39,0.062,3.14,11.5,7
0.2,0.077,3.37,10.4,6
0.2,0.077,3.37,10.4,6
0,0.084,3.33,10.9,6
0.28,0.096,3.26,10.2,6
0.44,0.068,3.35,12.4,6
0.1,0.073,3.29,10.9,6
0.13,0.056,3.62,12.4,6
0.1,0.073,3.29,10.9,6
0.14,0.064,3.35,12.1,6
0,0.063,3.45,12.2,6
0,0.08,3.78,12.5,6
0.07,0.1,3.6,11.7,6
0.32,0.064,3.3,11.2,6
0.15,0.064,3.33,12.8,6
0.21,0.086,3.4,10.1,6
0.21,0.086,3.4,10.1,6
0.27,0.083,3.26,9.8,6
0,0.041,4.01,12.5,6
0.46,0.091,3.18,11.9,6
0.27,0.083,3.26,9.8,6
0.68,0.414,2.9,9.1,6
0,0.041,4.01,12.5,6
0.39,0.06,3.18,11,7
0.24,0.077,3.39,10.6,6
0.24,0.077,3.39,10.6,6
0.24,0.077,3.39,10.6,6
0.24,0.077,3.39,10.6,6
0.26,0.083,3.29,9.8,6
0.26,0.083,3.29,9.8,6
0.1,0.075,3.09,9.7,6
0.02,0.069,3.38,12.6,6
0.02,0.084,3.36,10.5,6
0.02,0.084,3.36,10.5,6
0.02,0.084,3.36,10.5,6
0.02,0.085,3.37,10.4,6
0.02,0.084,3.36,10.5,6
0.24,0.063,3.25,10.2,6
0.01,0.065,3.32,11.8,6
0.24,0.078,3.6,11.1,6
0.4,0.091,3.07,10.0333333333333,6
0.4,0.091,3.07,10.0333333333333,6
0.02,0.096,3.46,11.8,6
0.3,0.088,3.25,10.5,6
0.32,0.079,3.27,9.8,6
0.56,0.153,3.21,11.6,6
0.26,0.09,3.71,12.2,6
0.15,0.078,3.29,9.9,6
0.02,0.077,3.36,10.8,6
0.02,0.077,3.36,10.8,6
0,0.068,3.58,12.5,6
0.1,0.092,3.31,9.55,6
0.12,0.083,3.52,10.2,7
0,0.068,3.42,11.1,6
0.42,0.052,3.44,11.9,6
0.33,0.061,3.23,10,8
0.39,0.082,3.43,10.7,6
0.3,0.062,3.28,11.3,7
0.34,0.062,3.22,10.9,6
0,0.064,3.54,10.7,6
0.36,0.048,3.27,12.4,7
0,0.064,3.54,10.7,6
0,0.082,3.5,11.9,6
0.4,0.071,3.56,10.6,6
0.34,0.062,3.22,10.9,6
0.33,0.064,3.35,12.1,7
0,0.079,3.39,11.4,6
0.37,0.076,3.26,9.6,6
0.37,0.076,3.26,9.6,6
0.37,0.046,3.41,12.1,6
0.31,0.069,3.26,9.9,6
0,0.042,3.48,11.7,6
0.16,0.069,3.42,10.1,7
0.37,0.214,3.18,9,6
0.37,0.214,3.18,9,6
0.02,0.072,3.32,11.0666666666667,6
0.32,0.062,3.23,11.3,7
0.19,0.094,3.16,9.56666666666667,6
0.02,0.072,3.32,11.1,6
0.19,0.094,3.16,9.6,6
0.31,0.056,3.23,11.3,8
0.32,0.062,3.23,11.3,7
0.44,0.104,3.33,11,7
0.02,0.062,3.35,11.6,7
0.63,0.073,3.21,10.9,6
0,0.052,3.5,10.9,6
0.06,0.05,3.3,10.55,6
0.35,0.054,3.32,11.9,7
0.09,0.054,3.41,10.4,6
0.03,0.075,3.36,10.4,6
0.01,0.076,3.34,10.8,6
0.32,0.062,3.3,10,7
0.32,0.062,3.3,10,7
0.6,0.073,3.38,11.1,6
0.11,0.048,3.54,13.5666666666667,7
0.11,0.048,3.54,13.6,7
0.1,0.048,3.44,10.8,6
0.49,0.039,3.39,12.4,6
0.09,0.066,3.42,10,7
