"citric acid","chlorides","pH","alcohol","quality"
0.49,0.048,2.88,10.5,4
0.49,0.05,3.31,10.6,4
0.49,0.062,3.22,9,4
0.49,0.058,3.65,9.4,4
0.49,0.044,3.24,10.9,4
0.46,0.059,3.27,9,4
0.26,0.041,3.55,9.4,3
0.3,0.05,3.11,9.7,4
0.19,0.046,3.25,8.6,4
0.26,0.051,3.36,10.6,4
0.33,0.05,3.16,9,4
0.29,0.032,2.91,11.4,4
0.37,0.051,3.49,10.5,4
0,0.034,3.19,9.2,4
0.42,0.056,3.11,10,4
0.36,0.032,3.15,10.4,4
0.22,0.047,3.24,11,3
0.46,0.046,3.02,10.2,4
0.27,0.054,3.24,9.1,4
0.38,0.034,2.93,9.7,3
0.32,0.044,3.32,10.4,4
0.27,0.034,3.14,11.7,4
0.36,0.033,3.2,10.3,4
0.45,0.052,3.12,10.2,4
0.32,0.038,3.05,11.7,4
0.37,0.031,3.3,12.2,4
0.26,0.067,3.03,9.2,4
0.2,0.06,3.13,9,4
0.2,0.06,3.13,9,4
0.26,0.067,3.04,9.2,4
0.59,0.046,3.17,8.9,4
0.35,0.067,3.15,9,4
0.63,0.039,3.08,8.8,4
0.18,0.036,3.28,11.5,4
0.37,0.034,3.05,10.4,3
0.19,0.084,3.49,9.6,4
0.19,0.085,3.49,9.5,4
0.29,0.053,3.29,9.9,4
0.3,0.053,3.29,9.9,4
0.35,0.041,3.06,11.3,4
0.42,0.047,3.09,10,4
0.49,0.044,3.1,10.2,4
0.28,0.034,3.35,10.2,4
0.17,0.08,3.47,9.4,4
0.28,0.034,3.35,10.2,4
0.18,0.095,3.53,9.2,4
0.35,0.034,3.17,9.8,4
0.23,0.054,3.16,9.7,4
0.23,0.054,3.16,9.7,4
0.36,0.045,3.17,9.4,4
0.36,0.045,3.17,9.4,4
0.27,0.049,3.16,9.4,4
0.27,0.049,3.16,9.4,4
0.1,0.068,3.2,9.7,4
0.24,0.039,3.19,10,4
0.47,0.052,2.91,9.3,4
0.34,0.04,3.04,10.5,4
0.4,0.032,3.01,10.8,4
0.28,0.023,2.95,11.4,4
0.29,0.046,3.34,10.6,4
0.24,0.039,3.53,9.6,4
0.42,0.033,3.17,10.7,4
0.34,0.041,3.14,10.1,3
0.36,0.054,3.4,10.4,4
0.4,0.046,3,10.5,4
0.59,0.046,3.06,10.8,4
0.25,0.142,3,9.9,4
0.23,0.041,3.42,8.0,3
0.02,0.043,3.14,9.8,4
0.29,0.037,2.9,11,3
0.35,0.051,3.37,11,3
0.3,0.03,3.16,12.9,4
0.13,0.036,3.09,11.1,4
0.24,0.031,3.01,11.8,4
0,0.033,3.32,10.5,4
0.22,0.038,3.1,11.2,4
0.6,0.037,2.92,10.4,4
0.12,0.05,3.42,10.4,4
0.3,0.028,2.83,10,4
0.48,0.026,3.22,12.7,4
0.31,0.014,3.03,12,4
0.34,0.06,3.24,10.5,3
0.54,0.054,3.06,8.6,4
0.2,0.054,3.12,11.1,4
0.12,0.013,3.32,13.5,4
0.21,0.039,2.96,11,4
0.23,0.05,3.1,11.2,4
0.51,0.049,3.16,9.4,4
0.51,0.049,3.16,9.4,4
0.12,0.056,3.06,8.4,4
0.16,0.033,3.35,12.4,4
0.19,0.06,3.13,9.9,4
0.37,0.052,3.24,8.8,4
0.53,0.142,3.14,10.1,4
0.14,0.06,3.07,9.2,4
0.14,0.06,3.07,9.2,4
0.11,0.029,3.51,11.2,4
0.1,0.036,3.48,11.2,4
0.29,0.04,3.07,10.1,4
0.22,0.04,3.05,10.8,4
0.18,0.058,3.23,9.55,4
0.3,0.034,3.2,11.5,4
0.04,0.032,3.14,11,4
0.04,0.058,3.17,10.2,4
0.04,0.058,3.17,10.2,4
0.25,0.047,3.44,10.5,3
0.34,0.045,3.16,11.2,4
0,0.037,3.1,10.9,4
0.46,0.033,3.24,12.1,4
0.15,0.038,3.52,11.6,4
0.02,0.035,3.24,9.5,4
